ctuid_s,ctuid_t,w,f
4420101.04,4420101.04,1.0,1
4420102.00,4420102.00,1.0,1
4420200.00,4420200.00,1.0,1
4420201.00,4420201.00,1.0,1
4420202.00,4420202.00,1.0,1
4420203.00,4420203.00,1.0,1
4420204.00,4420204.00,1.0,1
4420205.01,4420205.01,0.993265326601932,4
4420205.01,4420211.00,0.006734673398067964,4
4420205.02,4420205.02,1.0,1
4420205.03,4420205.03,1.0,1
4420210.00,4420210.00,1.0,1
4420211.00,4420211.00,1.0,4
4420212.00,4420212.00,1.0,1
4420213.00,4420213.00,1.0,1
4420300.00,4420300.01,0.023851143891642675,3
4420300.00,4420300.02,0.9761488561083573,3
4420301.00,4420301.00,1.0,1
4420302.00,4420302.00,1.0,1
4420303.00,4420303.00,1.0,1
4420304.00,4420304.00,1.0,1
4470001.01,4470001.01,1.0,1
4470001.02,4470001.02,1.0,1
4470002.00,4470002.00,1.0,1
4470003.00,4470003.00,1.0,1
4470004.00,4470004.00,1.0,1
4470005.00,4470005.00,1.0,1
4470006.00,4470006.00,1.0,1
4470007.00,4470007.00,1.0,1
4470008.00,4470008.00,1.0,1
4470009.00,4470009.00,1.0,1
4470010.00,4470010.00,1.0,1
4470011.00,4470011.00,1.0,1
4470012.00,4470012.00,1.0,4
4470013.00,4470013.00,1.0,1
4470014.00,4470014.00,1.0,1
4470015.00,4470015.00,1.0,1
4470100.00,4470100.00,1.0,1
4470101.00,4470101.00,1.0,1
4470102.00,4470102.00,1.0,1
4470103.00,4470103.00,1.0,1
4470104.00,4470104.00,1.0,1
4500001.00,4500001.00,1.0,1
4500002.00,4500002.00,1.0,1
4500003.00,4500003.00,1.0,1
4500004.00,4500004.00,1.0,1
4500005.00,4500005.00,1.0,1
4500006.00,4500006.00,1.0,1
4500007.00,4500007.00,1.0,1
4500008.00,4500008.00,1.0,1
4500009.00,4500009.00,1.0,1
4500010.00,4500010.00,1.0,1
4500011.00,4500011.00,1.0,1
4500012.00,4500012.00,1.0,1
4500013.00,4500013.00,1.0,1
4500014.00,4500014.00,1.0,1
4500015.00,4500015.00,1.0,1
4500016.00,4500016.00,1.0,1
4500100.00,4500100.00,1.0,4
4500200.00,4500200.00,1.0,1
4500201.00,4500201.00,1.0,4
4590001.00,4622001.00,1.0,1
4590002.00,4622002.00,1.0,1
4590003.00,4622003.00,1.0,1
4590004.00,4622004.00,1.0,1
4590005.00,4622005.00,1.0,1
4590006.00,4622006.00,1.0,1
4590007.00,4622007.00,1.0,1
4590008.00,4622008.00,1.0,1
4590009.00,4622009.00,1.0,1
4590010.00,4622010.00,1.0,1
4590011.00,4622011.00,1.0,1
4590012.00,4622012.00,1.0,1
4590013.00,4622013.00,1.0,1
4590014.00,4622014.00,1.0,4
4590015.00,4622014.00,0.0015865287270317322,4
4590015.00,4622015.00,0.9984134712729682,4
4590100.00,4622100.00,1.0,1
4590101.00,4622101.00,1.0,1
4590102.00,4622102.00,1.0,1
4590103.00,4622103.00,1.0,1
4590200.00,4622200.00,1.0,1
4590201.00,4622201.00,1.0,1
4590202.00,4622202.00,1.0,1
4590203.00,4622203.00,1.0,1
4590204.00,4622204.00,1.0,1
4590205.00,4622205.00,1.0,1
4590206.00,4622206.00,1.0,1
4590207.00,4622207.00,1.0,1
4590300.00,4622300.00,1.0,1
4590301.00,4622301.00,1.0,1
4590302.00,4622302.00,1.0,1
4590303.00,4622303.00,1.0,1
4590304.00,4622304.00,1.0,1
4590400.00,4622400.00,1.0,4
4590401.00,4622401.00,1.0,1
4590402.00,4622400.00,0.006510859881775254,4
4590402.00,4622402.00,0.9934891401182246,4
4620001.00,4620001.00,1.0,1
4620002.00,4620002.00,1.0,1
4620003.00,4620003.00,1.0,1
4620004.00,4620004.00,1.0,1
4620005.00,4620005.00,1.0,1
4620006.00,4620006.00,1.0,1
4620007.00,4620007.00,1.0,1
4620008.00,4620008.00,1.0,1
